icd,description,version,,
080,Louse-borne (epidemic) typhus,9,,
008.1,Intestinal infection due to arizona group of paracolon bacilli,9,,
008.2,Intestinal infection due to aerobacter aerogenes,9,,
008.3,Intestinal infection due to proteus (mirabilis) (morganii),9,,
008.5,"Bacterial enteritis, unspecified",9,,
008.8,"Intestinal infection due to other organism, not elsewhere classified",9,,
009.0,"Infectious colitis, enteritis, and gastroenteritis",9,,
009.1,"Colitis, enteritis, and gastroenteritis of presumed infectious origin",9,,
009.2,Infectious diarrhea,9,,
009.3,Diarrhea of presumed infectious origin,9,,
096,"Late syphilis, latent",9,,
101,Vincent's angina,9,,
118,Opportunistic mycoses,9,,
124,Trichinosis,9,,
129,"Intestinal parasitism, unspecified",9,,
135,Sarcoidosis,9,,
138,Late effects of acute poliomyelitis,9,,
179,"Malignant neoplasm of uterus, part unspecified",9,,
181,Malignant neoplasm of placenta,9,,
185,Malignant neoplasm of prostate,9,,
193,Malignant neoplasm of thyroid gland,9,,
020.0,Bubonic plague,9,,
020.1,Cellulocutaneous plague,9,,
020.2,Septicemic plague,9,,
020.3,Primary pneumonic plague,9,,
020.4,Secondary pneumonic plague,9,,
020.5,"Pneumonic plague, unspecified",9,,
020.8,Other specified types of plague,9,,
020.9,"Plague, unspecified",9,,
021.0,Ulceroglandular tularemia,9,,
021.1,Enteric tularemia,9,,
021.2,Pulmonary tularemia,9,,
021.3,Oculoglandular tularemia,9,,
217,Benign neoplasm of breast,9,,
021.8,Other specified tularemia,9,,
021.9,Unspecified tularemia,9,,
220,Benign neoplasm of ovary,9,,
022.0,Cutaneous anthrax,9,,
022.1,Pulmonary anthrax,9,,
022.2,Gastrointestinal anthrax,9,,
022.3,Anthrax septicemia,9,,
226,Benign neoplasm of thyroid glands,9,,
022.8,Other specified manifestations of anthrax,9,,
022.9,"Anthrax, unspecified",9,,
023.0,Brucella melitensis,9,,
023.1,Brucella abortus,9,,
023.2,Brucella suis,9,,
023.3,Brucella canis,9,,
023.8,Other brucellosis,9,,
023.9,"Brucellosis, unspecified",9,,
243,Congenital hypothyroidism,9,,
260,Kwashiorkor,9,,
026.0,Spirillary fever,9,,
261,Nutritional marasmus,9,,
026.1,Streptobacillary fever,9,,
262,Other severe protein-calorie malnutrition,9,,
267,Ascorbic acid deficiency,9,,
026.9,Unspecified rat-bite fever,9,,
027.0,Listeriosis,9,,
027.1,Erysipelothrix infection,9,,
027.2,Pasteurellosis,9,,
027.8,Other specified zoonotic bacterial diseases,9,,
027.9,Unspecified zoonotic bacterial disease,9,,
030.0,Lepromatous leprosy [type L],9,,
030.1,Tuberculoid leprosy [type T],9,,
030.2,Indeterminate leprosy [group I],9,,
030.3,Borderline leprosy [group B],9,,
030.8,Other specified leprosy,9,,
030.9,"Leprosy, unspecified",9,,
031.0,Pulmonary diseases due to other mycobacteria,9,,
311,"Depressive disorder, not elsewhere classified",9,,
031.1,Cutaneous diseases due to other mycobacteria,9,,
031.2,Disseminated due to other mycobacteria,9,,
316,Psychic factors associated with diseases classified elsewhere,9,,
317,Mild intellectual disabilities,9,,
031.8,Other specified mycobacterial diseases,9,,
319,Unspecified intellectual disabilities,9,,
031.9,Unspecified diseases due to mycobacteria,9,,
032.0,Faucial diphtheria,9,,
003.20,"Localized salmonella infection, unspecified",9,,
032.1,Nasopharyngeal diphtheria,9,,
003.21,Salmonella meningitis,9,,
032.2,Anterior nasal diphtheria,9,,
003.22,Salmonella pneumonia,9,,
032.3,Laryngeal diphtheria,9,,
003.23,Salmonella arthritis,9,,
003.24,Salmonella osteomyelitis,9,,
325,Phlebitis and thrombophlebitis of intracranial venous sinuses,9,,
326,Late effects of intracranial abscess or pyogenic infection,9,,
032.9,"Diphtheria, unspecified",9,,
003.29,Other localized salmonella infections,9,,
033.0,Whooping cough due to bordetella pertussis [B. pertussis],9,,
033.1,Whooping cough due to bordetella parapertussis [B. parapertussis],9,,
033.8,Whooping cough due to other specified organism,9,,
033.9,"Whooping cough, unspecified organism",9,,
340,Multiple sclerosis,9,,
034.0,Streptococcal sore throat,9,,
034.1,Scarlet fever,9,,
036.0,Meningococcal meningitis,9,,
036.1,Meningococcal encephalitis,9,,
036.2,Meningococcemia,9,,
036.3,"Waterhouse-Friderichsen syndrome, meningococcal",9,,
036.9,"Meningococcal infection, unspecified",9,,
038.0,Streptococcal septicemia,9,,
038.2,Pneumococcal septicemia [Streptococcus pneumoniae septicemia],9,,
038.3,Septicemia due to anaerobes,9,,
038.8,Other specified septicemias,9,,
038.9,Unspecified septicemia,9,,
390,Rheumatic fever without mention of heart involvement,9,,
039.0,Cutaneous actinomycotic infection,9,,
039.1,Pulmonary actinomycotic infection,9,,
039.2,Abdominal actinomycotic infection,9,,
393,Chronic rheumatic pericarditis,9,,
039.3,Cervicofacial actinomycotic infection,9,,
039.4,Madura foot,9,,
039.8,Actinomycotic infection of other specified sites,9,,
039.9,Actinomycotic infection of unspecified site,9,,
040.0,Gas gangrene,9,,
040.1,Rhinoscleroma,9,,
040.2,Whipple's disease,9,,
040.3,Necrobacillosis,9,,
412,Old myocardial infarction,9,,
041.2,Pneumococcus infection in conditions classified elsewhere and of unspecified site,9,,
041.3,Friedländer's bacillus infection in conditions classified elsewhere and of unspecified site,9,,
041.5,Hemophilus influenzae [H. influenzae] infection in conditions classified elsewhere and of unspecified site,9,,
041.6,Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site,9,,
041.7,Pseudomonas infection in conditions classified elsewhere and of unspecified site,9,,
041.9,"Bacterial infection, unspecified, in conditions classified elsewhere and of unspecified site",9,,
430,Subarachnoid hemorrhage,9,,
431,Intracerebral hemorrhage,9,,
436,"Acute, but ill-defined, cerebrovascular disease",9,,
449,Septic arterial embolism,9,,
452,Portal vein thrombosis,9,,
460,Acute nasopharyngitis [common cold],9,,
046.0,Kuru,9,,
462,Acute pharyngitis,9,,
046.2,Subacute sclerosing panencephalitis,9,,
463,Acute tonsillitis,9,,
046.3,Progressive multifocal leukoencephalopathy,9,,
046.8,Other specified slow virus infection of central nervous system,9,,
046.9,Unspecified slow virus infection of central nervous system,9,,
470,Deviated nasal septum,9,,
047.0,Meningitis due to coxsackie virus,9,,
047.1,Meningitis due to echo virus,9,,
475,Peritonsillar abscess,9,,
047.8,Other specified viral meningitis,9,,
047.9,Unspecified viral meningitis,9,,
481,Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia],9,,
485,"Bronchopneumonia, organism unspecified",9,,
486,"Pneumonia, organism unspecified",9,,
490,"Bronchitis, not specified as acute or chronic",9,,
049.0,Lymphocytic choriomeningitis,9,,
049.1,Meningitis due to adenovirus,9,,
496,"Chronic airway obstruction, not elsewhere classified",9,,
049.8,Other specified non-arthropod-borne viral diseases of central nervous system,9,,
049.9,Unspecified non-arthropod-borne viral diseases of central nervous system,9,,
500,Coal workers' pneumoconiosis,9,,
050.0,Variola major,9,,
501,Asbestosis,9,,
050.1,Alastrim,9,,
502,Pneumoconiosis due to other silica or silicates,9,,
050.2,Modified smallpox,9,,
503,Pneumoconiosis due to other inorganic dust,9,,
504,Pneumonopathy due to inhalation of other dust,9,,
505,"Pneumoconiosis, unspecified",9,,
050.9,"Smallpox, unspecified",9,,
051.1,Pseudocowpox,9,,
051.2,Contagious pustular dermatitis,9,,
514,Pulmonary congestion and hypostasis,9,,
515,Postinflammatory pulmonary fibrosis,9,,
051.9,"Paravaccinia, unspecified",9,,
052.0,Postvaricella encephalitis,9,,
052.1,Varicella (hemorrhagic) pneumonitis,9,,
052.2,Postvaricella myelitis,9,,
052.7,Chickenpox with other specified complications,9,,
052.8,Chickenpox with unspecified complication,9,,
052.9,Varicella without mention of complication,9,,
053.0,Herpes zoster with meningitis,9,,
538,Gastrointestinal mucositis (ulcerative),9,,
053.8,Herpes zoster with unspecified complication,9,,
053.9,Herpes zoster without mention of complication,9,,
054.0,Eczema herpeticum,9,,
541,"Appendicitis, unqualified",9,,
542,Other appendicitis,9,,
054.2,Herpetic gingivostomatitis,9,,
054.3,Herpetic meningoencephalitis,9,,
054.5,Herpetic septicemia,9,,
054.6,Herpetic whitlow,9,,
054.8,Herpes simplex with unspecified complication,9,,
054.9,Herpes simplex without mention of complication,9,,
055.0,Postmeasles encephalitis,9,,
055.1,Postmeasles pneumonia,9,,
055.2,Postmeasles otitis media,9,,
055.8,Measles with unspecified complication,9,,
055.9,Measles without mention of complication,9,,
566,Abscess of anal and rectal regions,9,,
056.8,Rubella with unspecified complications,9,,
056.9,Rubella without mention of complication,9,,
570,Acute and subacute necrosis of liver,9,,
057.0,Erythema infectiosum (fifth disease),9,,
057.8,Other specified viral exanthemata,9,,
057.9,"Viral exanthem, unspecified",9,,
005.81,Food poisoning due to Vibrio vulnificus,9,,
586,"Renal failure, unspecified",9,,
587,"Renal sclerosis, unspecified",9,,
005.89,Other bacterial food poisoning,9,,
591,Hydronephrosis,9,,
059.8,Other poxvirus infections,9,,
059.9,"Poxvirus infections, unspecified",9,,
060.0,Sylvatic yellow fever,9,,
060.1,Urban yellow fever,9,,
605,Redundant prepuce and phimosis,9,,
060.9,"Yellow fever, unspecified",9,,
062.0,Japanese encephalitis,9,,
062.1,Western equine encephalitis,9,,
062.2,Eastern equine encephalitis,9,,
062.3,St. Louis encephalitis,9,,
062.4,Australian encephalitis,9,,
062.5,California virus encephalitis,9,,
062.8,Other specified mosquito-borne viral encephalitis,9,,
062.9,"Mosquito-borne viral encephalitis, unspecified",9,,
630,Hydatidiform mole,9,,
063.0,Russian spring-summer [taiga] encephalitis,9,,
063.1,Louping ill,9,,
632,Missed abortion,9,,
063.2,Central european encephalitis,9,,
063.8,Other specified tick-borne viral encephalitis,9,,
063.9,"Tick-borne viral encephalitis, unspecified",9,,
650,Normal delivery,9,,
065.0,Crimean hemorrhagic fever [CHF Congo virus],9,,
065.1,Omsk hemorrhagic fever,9,,
065.2,Kyasanur forest disease,9,,
065.3,Other tick-borne hemorrhagic fever,9,,
065.4,Mosquito-borne hemorrhagic fever,9,,
065.8,Other specified arthropod-borne hemorrhagic fever,9,,
065.9,"Arthropod-borne hemorrhagic fever, unspecified",9,,
066.0,Phlebotomus fever,9,,
066.1,Tick-borne fever,9,,
066.2,Venezuelan equine fever,9,,
066.3,Other mosquito-borne fever,9,,
066.8,Other specified arthropod-borne viral diseases,9,,
066.9,"Arthropod-borne viral disease, unspecified",9,,
677,"Late effect of complication of pregnancy, childbirth, and the puerperium",9,,
683,Acute lymphadenitis,9,,
684,Impetigo,9,,
700,Corns and callosities,9,,
070.0,Viral hepatitis A with hepatic coma,9,,
070.1,Viral hepatitis A without mention of hepatic coma,9,,
070.6,Unspecified viral hepatitis with hepatic coma,9,,
070.9,Unspecified viral hepatitis without mention of hepatic coma,9,,
072.0,Mumps orchitis,9,,
072.1,Mumps meningitis,9,,
072.2,Mumps encephalitis,9,,
072.3,Mumps pancreatitis,9,,
725,Polymyalgia rheumatica,9,,
072.8,Mumps with unspecified complication,9,,
072.9,Mumps without mention of complication,9,,
073.0,Ornithosis with pneumonia,9,,
734,Flat foot,9,,
073.7,Ornithosis with other specified complications,9,,
073.8,Ornithosis with unspecified complication,9,,
073.9,"Ornithosis, unspecified",9,,
074.0,Herpangina,9,,
074.1,Epidemic pleurodynia,9,,
074.3,"Hand, foot, and mouth disease",9,,
074.8,Other specified diseases due to Coxsackie virus,9,,
076.0,"Trachoma, initial stage",9,,
076.1,"Trachoma, active stage",9,,
769,Respiratory distress syndrome in newborn,9,,
076.9,"Trachoma, unspecified",9,,
077.0,Inclusion conjunctivitis,9,,
077.1,Epidemic keratoconjunctivitis,9,,
077.2,Pharyngoconjunctival fever,9,,
077.3,Other adenoviral conjunctivitis,9,,
077.4,Epidemic hemorrhagic conjunctivitis,9,,
077.8,Other viral conjunctivitis,9,,
078.0,Molluscum contagiosum,9,,
078.2,Sweating fever,9,,
078.3,Cat-scratch disease,9,,
078.4,Foot and mouth disease,9,,
078.5,Cytomegaloviral disease,9,,
078.6,Hemorrhagic nephrosonephritis,9,,
078.7,Arenaviral hemorrhagic fever,9,,
079.0,Adenovirus infection in conditions classified elsewhere and of unspecified site,9,,
079.1,Echo virus infection in conditions classified elsewhere and of unspecified site,9,,
079.2,Coxsackie virus infection in conditions classified elsewhere and of unspecified site,9,,
079.3,Rhinovirus infection in conditions classified elsewhere and of unspecified site,9,,
079.4,Human papillomavirus in conditions classified elsewhere and of unspecified site,9,,
079.6,Respiratory syncytial virus (RSV),9,,
797,Senility without mention of psychosis,9,,
008.00,"Intestinal infection due to E. coli, unspecified",9,,
008.01,Intestinal infection due to enteropathogenic E. coli,9,,
008.02,Intestinal infection due to enterotoxigenic E. coli,9,,
008.03,Intestinal infection due to enteroinvasive E. coli,9,,
008.04,Intestinal infection due to enterohemorrhagic E. coli,9,,
008.09,Intestinal infection due to other intestinal E. coli infections,9,,
081.0,Murine (endemic) typhus,9,,
081.1,Brill's disease,9,,
081.2,Scrub typhus,9,,
081.9,"Typhus, unspecified",9,,
082.0,Spotted fevers,9,,
082.1,Boutonneuse fever,9,,
082.2,North Asian tick fever,9,,
082.3,Queensland tick typhus,9,,
082.8,Other specified tick-borne rickettsioses,9,,
082.9,"Tick-borne rickettsiosis, unspecified",9,,
083.0,Q fever,9,,
083.1,Trench fever,9,,
083.2,Rickettsialpox,9,,
083.8,Other specified rickettsioses,9,,
083.9,"Rickettsiosis, unspecified",9,,
084.0,Falciparum malaria [malignant tertian],9,,
084.1,Vivax malaria [benign tertian],9,,
008.41,Intestinal infection due to staphylococcus,9,,
084.2,Quartan malaria,9,,
008.42,Intestinal infection due to pseudomonas,9,,
084.3,Ovale malaria,9,,
008.43,Intestinal infection due to campylobacter,9,,
084.4,Other malaria,9,,
008.44,Intestinal infection due to yersinia enterocolitica,9,,
084.5,Mixed malaria,9,,
008.45,Intestinal infection due to Clostridium difficile,9,,
084.6,"Malaria, unspecified",9,,
008.46,Intestinal infection due to other anaerobes,9,,
084.7,Induced malaria,9,,
008.47,Intestinal infection due to other gram-negative bacteria,9,,
084.8,Blackwater fever,9,,
084.9,Other pernicious complications of malaria,9,,
008.49,Intestinal infection due to other organisms,9,,
085.0,Visceral [kala-azar] leishmaniasis,9,,
085.1,"Cutaneous leishmaniasis, urban",9,,
085.2,"Cutaneous leishmaniasis, Asian desert",9,,
085.3,"Cutaneous leishmaniasis, Ethiopian",9,,
085.4,"Cutaneous leishmaniasis, American",9,,
085.5,"Mucocutaneous leishmaniasis, (American)",9,,
085.9,"Leishmaniasis, unspecified",9,,
086.0,Chagas' disease with heart involvement,9,,
086.1,Chagas' disease with other organ involvement,9,,
008.61,Enteritis due to rotavirus,9,,
086.2,Chagas' disease without mention of organ involvement,9,,
008.62,Enteritis due to adenovirus,9,,
086.3,Gambian trypanosomiasis,9,,
008.63,Enteritis due to norwalk virus,9,,
086.4,Rhodesian trypanosomiasis,9,,
008.64,Enteritis due to other small round viruses [SRV's],9,,
086.5,"African trypanosomiasis, unspecified",9,,
008.65,Enteritis due to calicivirus,9,,
008.66,Enteritis due to astrovirus,9,,
008.67,Enteritis due to enterovirus nec,9,,
086.9,"Trypanosomiasis, unspecified",9,,
008.69,Enteritis due to other viral enteritis,9,,
087.0,"Relapsing fever, louse-borne",9,,
087.1,"Relapsing fever, tick-borne",9,,
087.9,"Relapsing fever, unspecified",9,,
088.0,Bartonellosis,9,,
088.9,"Arthropod-borne disease, unspecified",9,,
090.0,"Early congenital syphilis, symptomatic",9,,
090.1,"Early congenital syphilis, latent",9,,
090.2,"Early congenital syphilis, unspecified",9,,
090.3,Syphilitic interstitial keratitis,9,,
090.5,"Other late congenital syphilis, symptomatic",9,,
090.6,"Late congenital syphilis, latent",9,,
090.7,"Late congenital syphilis, unspecified",9,,
090.9,"Congenital syphilis, unspecified",9,,
091.0,Genital syphilis (primary),9,,
091.1,Primary anal syphilis,9,,
091.2,Other primary syphilis,9,,
091.3,Secondary syphilis of skin or mucous membranes,9,,
091.4,Adenopathy due to secondary syphilis,9,,
091.7,"Secondary syphilis, relapse",9,,
091.9,Unspecified secondary syphilis,9,,
920,"Contusion of face, scalp, and neck except eye(s)",9,,
092.0,"Early syphilis, latent, serological relapse after treatment",9,,
092.9,"Early syphilis, latent, unspecified",9,,
093.0,"Aneurysm of aorta, specified as syphilitic",9,,
931,Foreign body in ear,9,,
093.1,Syphilitic aortitis,9,,
932,Foreign body in nose,9,,
936,Foreign body in intestine and colon,9,,
937,Foreign body in anus and rectum,9,,
938,"Foreign body in digestive system, unspecified",9,,
093.9,"Cardiovascular syphilis, unspecified",9,,
094.0,Tabes dorsalis,9,,
094.1,General paresis,9,,
094.2,Syphilitic meningitis,9,,
094.3,Asymptomatic neurosyphilis,9,,
094.9,"Neurosyphilis, unspecified",9,,
095.0,Syphilitic episcleritis,9,,
095.1,Syphilis of lung,9,,
095.2,Syphilitic peritonitis,9,,
095.3,Syphilis of liver,9,,
095.4,Syphilis of kidney,9,,
095.5,Syphilis of bone,9,,
095.6,Syphilis of muscle,9,,
095.7,"Syphilis of synovium, tendon, and bursa",9,,
095.8,Other specified forms of late symptomatic syphilis,9,,
095.9,"Late symptomatic syphilis, unspecified",9,,
097.0,"Late syphilis, unspecified",9,,
097.1,"Latent syphilis, unspecified",9,,
097.9,"Syphilis, unspecified",9,,
098.0,Gonococcal infection (acute) of lower genitourinary tract,9,,
981,Toxic effect of petroleum products,9,,
098.2,"Gonococcal infection, chronic, of lower genitourinary tract",9,,
986,Toxic effect of carbon monoxide,9,,
098.6,Gonococcal infection of pharynx,9,,
098.7,Gonococcal infection of anus and rectum,9,,
990,"Effects of radiation, unspecified",9,,
099.0,Chancroid,9,,
099.1,Lymphogranuloma venereum,9,,
099.2,Granuloma inguinale,9,,
099.3,Reiter's disease,9,,
099.8,Other specified venereal diseases,9,,
099.9,"Venereal disease, unspecified",9,,
100.0,Leptospirosis icterohemorrhagica,9,,
010.00,"Primary tuberculous infection, unspecified",9,,
010.01,"Primary tuberculous infection, bacteriological or histological examination not done",9,,
010.02,"Primary tuberculous infection, bacteriological or histological examination unknown (at present)",9,,
010.03,"Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy",9,,
010.04,"Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",9,,
010.05,"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",9,,
010.06,"Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",9,,
100.9,"Leptospirosis, unspecified",9,,
010.10,"Tuberculous pleurisy in primary progressive tuberculosis, unspecified",9,,
010.11,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done",9,,
010.12,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)",9,,
010.13,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy",9,,
010.14,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",9,,
010.15,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",9,,
010.16,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",9,,
102.0,Initial lesions of yaws,9,,
102.1,Multiple papillomata due to yaws and wet crab yaws,9,,
102.2,Other early skin lesions of yaws,9,,
102.3,Hyperkeratosis due to yaws,9,,
102.4,Gummata and ulcers due to yaws,9,,
102.5,Gangosa,9,,
102.6,Bone and joint lesions due to yaws,9,,
102.7,Other manifestations of yaws,9,,
102.8,Latent yaws,9,,
102.9,"Yaws, unspecified",9,,
103.0,Primary lesions of pinta,9,,
103.1,Intermediate lesions of pinta,9,,
103.2,Late lesions of pinta,9,,
103.3,Mixed lesions of pinta,9,,
103.9,"Pinta, unspecified",9,,
104.0,Nonvenereal endemic syphilis,9,,
104.8,Other specified spirochetal infections,9,,
104.9,"Spirochetal infection, unspecified",9,,
010.80,"Other primary progressive tuberculosis, unspecified",9,,
010.81,"Other primary progressive tuberculosis, bacteriological or histological examination not done",9,,
010.82,"Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)",9,,
010.83,"Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy",9,,
010.84,"Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",9,,
010.85,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",9,,
010.86,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",9,,
010.90,"Primary tuberculous infection, unspecified, unspecified",9,,
010.91,"Primary tuberculous infection, unspecified, bacteriological or histological examination not done",9,,
010.92,"Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)",9,,
010.93,"Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy",9,,
010.94,"Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",9,,
010.95,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",9,,
010.96,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",9,,
110.0,Dermatophytosis of scalp and beard,9,,
011.00,"Tuberculosis of lung, infiltrative, unspecified",9,,
110.1,Dermatophytosis of nail,9,,
011.01,"Tuberculosis of lung, infiltrative, bacteriological or histological examination not done",9,,
110.2,Dermatophytosis of hand,9,,
011.02,"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)",9,,
110.3,Dermatophytosis of groin and perianal area,9,,
011.03,"Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy",9,,
110.4,Dermatophytosis of foot,9,,
011.04,"Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",9,,
110.5,Dermatophytosis of the body,9,,
011.05,"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",9,,
110.6,Deep seated dermatophytosis,9,,
011.06,"Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",9,,
110.8,Dermatophytosis of other specified sites,9,,
110.9,Dermatophytosis of unspecified site,9,,
111.0,Pityriasis versicolor,9,,
011.10,"Tuberculosis of lung, nodular, unspecified",9,,
111.1,Tinea nigra,9,,
011.11,"Tuberculosis of lung, nodular, bacteriological or histological examination not done",9,,
111.2,Tinea blanca,9,,
011.12,"Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)",9,,
111.3,Black piedra,9,,
011.13,"Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy",9,,
011.14,"Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",9,,
011.15,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",9,,
011.16,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",9,,
111.8,Other specified dermatomycoses,9,,
111.9,"Dermatomycosis, unspecified",9,,
112.0,Candidiasis of mouth,9,,
011.20,"Tuberculosis of lung with cavitation, unspecified",9,,
112.1,Candidiasis of vulva and vagina,9,,
011.21,"Tuberculosis of lung with cavitation, bacteriological or histological examination not done",9,,
112.2,Candidiasis of other urogenital sites,9,,
011.22,"Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)",9,,
112.3,Candidiasis of skin and nails,9,,
011.23,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy",9,,
112.4,Candidiasis of lung,9,,
011.24,"Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",9,,
112.5,Disseminated candidiasis,9,,
011.25,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",9,,
011.26,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",9,,
112.9,Candidiasis of unspecified site,9,,
011.30,"Tuberculosis of bronchus, unspecified",9,,
011.31,"Tuberculosis of bronchus, bacteriological or histological examination not done",9,,
011.32,"Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)",9,,
011.33,"Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy",9,,
011.34,"Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture",9,,
011.35,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",9,,
011.36,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",9,,
114.0,Primary coccidioidomycosis (pulmonary),9,,
011.40,"Tuberculous fibrosis of lung, unspecified",9,,
114.1,Primary extrapulmonary coccidioidomycosis,9,,
011.41,"Tuberculous fibrosis of lung, bacteriological or histological examination not done",9,,
114.2,Coccidioidal meningitis,9,,
011.42,"Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)",9,,
114.3,Other forms of progressive coccidioidomycosis,9,,
011.43,"Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy",9,,
114.4,Chronic pulmonary coccidioidomycosis,9,,
011.44,"Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",9,,
114.5,"Pulmonary coccidioidomycosis, unspecified",9,,
