CPT_CODE,CPT_LONG_DESCRIPTION,,,
11100,"BIOPSY OF SKIN, SUBCUTANEOUS TISSUE AND/OR MUCOUS MEMBRANE (INCLUDING SIMPLE CLOSURE), UNLESS OTHERWISE LISTED (SEPARATE PROCEDURE); SINGLE LES",,,
11101,"BIOPSY OF SKIN, SUBCUTANEOUS TISSUE AND/OR MUCOUS MEMBRANE (INCLUDING SIMPLE CLOSURE),UNLESS OTHERWISE LISTED (SEPARATE PROCEDURE); EACH SEPARA",,,
11200,"REMOVAL OF SKIN TAGS, MULTIPLE FIBROCUTANEOUS TAGS, ANY AREA; UP TO AND INCLUDING 15 LESIONS",,,
11201,"REMOVAL OF SKIN TAGS, MULTIPLE FIBROCUTANEOUS TAGS, ANY AREA; EACH ADDITIONAL TEN LESIONS (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROC",,,
11300,"SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, TRUNK, ARMS OR LEGS; LESION DIAMETER 0.5 CM OR LESS",,,
11301,"SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, TRUNK, ARMS OR LEGS; LESION DIAMETER 0.6 TO 1.0 CM",,,
11302,"SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, TRUNK, ARMS OR LEGS; LESION DIAMETER 1.1 TO 2.0 CM",,,
11303,"SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, TRUNK, ARMS OR LEGS; LESION DIAMETER OVER 2.0 CM",,,
11305,"SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, SCALP, NECK, HANDS, FEET, GENITALIA; LESION DIAMETER 0.5 CM OR LESS",,,
11306,"SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, SCALP, NECK, HANDS, FEET, GENITALIA; LESION DIAMETER 0.6 TO 1.0 CM",,,
11307,"SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, SCALP, NECK, HANDS, FEET, GENITALIA; LESION DIAMETER 1.1 TO 2.0 CM",,,
11308,"SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, SCALP, NECK, HANDS, FEET, GENITALIA; LESION DIAMETER OVER 2.0 CM",,,
11310,"SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; LESION DIAMETER 0.5 CM OR LESS",,,
11311,"SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; LESION DIAMETER 0.6 TO 1.0 CM",,,
11312,"SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; LESION DIAMETER 1.1 TO 2.0 CM",,,
11313,"SHAVING OF EPIDERMAL OR DERMAL LESION, SINGLE LESION, FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; LESION DIAMETER OVER 2.0 CM",,,
11400,"EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), TRUNK, ARMS OR LEGS; EXCISED DIAMETER 0.5 CM OR LESS",,,
11401,"EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), TRUNK, ARMS OR LEGS; EXCISED DIAMETER 0.6 TO 1.0 CM",,,
11402,"EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), TRUNK, ARMS OR LEGS; EXCISED DIAMETER 1.1 TO 2.0 CM",,,
11403,"EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), TRUNK, ARMS OR LEGS; EXCISED DIAMETER 2.1 TO 3.0 CM",,,
11404,"EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), TRUNK, ARMS OR LEGS; EXCISED DIAMETER 3.1 TO 4.0 CM",,,
11406,"EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), TRUNK, ARMS OR LEGS; EXCISED DIAMETER OVER 4.0 CM",,,
11420,"EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 0.5",,,
11421,"EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 0.6",,,
11422,"EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 1.1",,,
11423,"EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 2.1",,,
11424,"EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 3.1",,,
11426,"EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER OVE",,,
11440,"EXCISION, OTHER BENIGN LESION INCLUDING MARGINS (UNLESS LISTED ELSEWHERE), FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; EXCISED DIAMETER 0",,,
11441,"EXCISION, OTHER BENIGN LESION INCLUDING MARGINS (UNLESS LISTED ELSEWHERE), FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; EXCISED DIAMETER 0",,,
11442,"EXCISION, OTHER BENIGN LESION INCLUDING MARGINS (UNLESS LISTED ELSEWHERE), FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; EXCISED DIAMETER 1",,,
11443,"EXCISION, OTHER BENIGN LESION INCLUDING MARGINS (UNLESS LISTED ELSEWHERE), FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; EXCISED DIAMETER 2",,,
11444,"EXCISION, OTHER BENIGN LESION INCLUDING MARGINS (UNLESS LISTED ELSEWHERE), FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; EXCISED DIAMETER 3",,,
11446,"EXCISION, OTHER BENIGN LESION INCLUDING MARGINS (UNLESS LISTED ELSEWHERE), FACE, EARS, EYELIDS, NOSE, LIPS, MUCOUS MEMBRANE; EXCISED DIAMETER O",,,
11450,"EXCISION OF SKIN AND SUBCUTANEOUS TISSUE FOR HIDRADENITIS, AXILLARY; WITH SIMPLE OR INTERMEDIATE REPAIR",,,
11451,"EXCISION OF SKIN AND SUBCUTANEOUS TISSUE FOR HIDRADENITIS, AXILLARY; WITH COMPLEX REPAIR",,,
11462,"EXCISION OF SKIN AND SUBCUTANEOUS TISSUE FOR HIDRADENITIS, INGUINAL; WITH SIMPLE OR INTERMEDIATE REPAIR",,,
11463,"EXCISION OF SKIN AND SUBCUTANEOUS TISSUE FOR HIDRADENITIS, INGUINAL; WITH COMPLEX REPAIR",,,
11470,"EXCISION OF SKIN AND SUBCUTANEOUS TISSUE FOR HIDRADENITIS, PERIANAL, PERINEAL, OR UMBILICAL; WITH SIMPLE OR INTERMEDIATE REPAIR",,,
11471,"EXCISION OF SKIN AND SUBCUTANEOUS TISSUE FOR HIDRADENITIS, PERIANAL, PERINEAL, OR UMBILICAL; WITH COMPLEX REPAIR",,,
11600,"EXCISION, MALIGNANT LESION INCLUDING MARGINS, TRUNK, ARMS, OR LEGS;EXCISED DIAMETER 0.5 CM OR LESS",,,
11601,"EXCISION, MALIGNANT LESION INCLUDING MARGINS, TRUNK, ARMS, OR LEGS;EXCISED DIAMETER 0.6 TO 1.0 CM",,,
11602,"EXCISION, MALIGNANT LESION INCLUDING MARGINS, TRUNK, ARMS, OR LEGS;EXCISED DIAMETER 1.1 TO 2.0 CM",,,
11603,"EXCISION, MALIGNANT LESION INCLUDING MARGINS, TRUNK, ARMS, OR LEGS;EXCISED DIAMETER 2.1 TO 3.0 CM",,,
11604,"EXCISION, MALIGNANT LESION INCLUDING MARGINS, TRUNK, ARMS, OR LEGS;EXCISED DIAMETER 3.1 TO 4.0 CM",,,
11606,"EXCISION, MALIGNANT LESION INCLUDING MARGINS, TRUNK, ARMS, OR LEGS;EXCISED DIAMETER OVER 4.0 CM",,,
11620,"EXCISION, MALIGNANT LESION INCLUDING MARGINS, SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 0.5 CM OR LESS",,,
11621,"EXCISION, MALIGNANT LESION INCLUDING MARGINS, SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 0.6 TO 1.0 CM",,,
11622,"EXCISION, MALIGNANT LESION INCLUDING MARGINS, SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 1.1 TO 2.0 CM",,,
11623,"EXCISION, MALIGNANT LESION INCLUDING MARGINS, SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 2.1 TO 3.0 CM",,,
11624,"EXCISION, MALIGNANT LESION INCLUDING MARGINS, SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER 3.1 TO 4.0 CM",,,
11626,"EXCISION, MALIGNANT LESION INCLUDING MARGINS, SCALP, NECK, HANDS, FEET, GENITALIA; EXCISED DIAMETER OVER 4.0 CM",,,
11640,"EXCISION, MALIGNANT LESION INCLUDING MARGINS, FACE, EARS, EYELIDS, NOSE,LIPS; EXCISED DIAMETER 0.5 CM OR LESS",,,
11641,"EXCISION, MALIGNANT LESION INCLUDING MARGINS, FACE, EARS, EYELIDS, NOSE,LIPS; EXCISED DIAMETER 0.6 TO 1.0 CM",,,
11642,"EXCISION, MALIGNANT LESION INCLUDING MARGINS, FACE, EARS, EYELIDS, NOSE,LIPS; EXCISED DIAMETER 1.1 TO 2.0 CM",,,
11643,"EXCISION, MALIGNANT LESION INCLUDING MARGINS, FACE, EARS, EYELIDS, NOSE,LIPS; EXCISED DIAMETER 2.1 TO 3.0 CM",,,
11644,"EXCISION, MALIGNANT LESION INCLUDING MARGINS, FACE, EARS, EYELIDS, NOSE,LIPS; EXCISED DIAMETER 3.1 TO 4.0 CM",,,
11646,"EXCISION, MALIGNANT LESION INCLUDING MARGINS, FACE, EARS, EYELIDS, NOSE,LIPS; EXCISED DIAMETER OVER 4.0 CM",,,
11719,"TRIMMING OF NONDYSTROPHIC NAILS, ANY NUMBER",,,
11720,DEBRIDEMENT OF NAIL(S) BY ANY METHOD(S); ONE TO FIVE,,,
11721,DEBRIDEMENT OF NAIL(S) BY ANY METHOD(S); SIX OR MORE,,,
11730,"AVULSION OF NAIL PLATE, PARTIAL OR COMPLETE, SIMPLE; SINGLE",,,
11732,"AVULSION OF NAIL PLATE, PARTIAL OR COMPLETE, SIMPLE; EACH ADDITIONAL NAIL PLATE (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)",,,
11740,EVACUATION OF SUBUNGUAL HEMATOMA,,,
11750,"EXCISION OF NAIL AND NAIL MATRIX, PARTIAL OR COMPLETE, (EG, INGROWN OR DEFORMED NAIL) FOR PERMANENT REMOVAL;",,,
11752,"EXCISION OF NAIL AND NAIL MATRIX, PARTIAL OR COMPLETE, (EG, INGROWN OR DEFORMED NAIL) FOR PERMANENT REMOVAL; WITH AMPUTATION OF TUFT OF DISTAL",,,
11755,"BIOPSY OF NAIL UNIT (EG, PLATE, BED, MATRIX, HYPONYCHIUM, PROXIMAL AND LATERAL NAIL FOLDS) (SEPARATE PROCEDURE)",,,
11760,REPAIR OF NAIL BED,,,
11762,RECONSTRUCTION OF NAIL BED WITH GRAFT,,,
11765,"WEDGE EXCISION OF SKIN OF NAIL FOLD (EG, FOR INGROWN TOENAIL)",,,
11770,EXCISION OF PILONIDAL CYST OR SINUS; SIMPLE,,,
11771,EXCISION OF PILONIDAL CYST OR SINUS; EXTENSIVE,,,
11772,EXCISION OF PILONIDAL CYST OR SINUS; COMPLICATED,,,
11900,"INJECTION, INTRALESIONAL; UP TO AND INCLUDING SEVEN LESIONS",,,
11901,"INJECTION, INTRALESIONAL; MORE THAN SEVEN LESIONS",,,
11920,"TATTOOING, INTRADERMAL INTRODUCTION OF INSOLUBLE OPAQUE PIGMENTS TO CORRECT COLOR DEFECTS OF SKIN, INCLUDING MICROPIGMENTATION; 6.0 SQ CM OR LE",,,
11921,"TATTOOING, INTRADERMAL INTRODUCTION OF INSOLUBLE OPAQUE PIGMENTS TO CORRECT COLOR DEFECTS OF SKIN, INCLUDING MICROPIGMENTATION; 6.1 TO 20.0 SQ",,,
11922,"TATTOOING, INTRADERMAL INTRODUCTION OF INSOLUBLE OPAQUE PIGMENTS TO CORRECT COLOR DEFECTS OF SKIN, INCLUDING MICROPIGMENTATION; EACH ADDITIONAL",,,
11950,"TATTOOING, INTRADERMAL INTRODUCTION OF INSOLUBLE OPAQUE PIGMENTS TO CORRECT COLOR DEFECTS OF SKIN, INCLUDING MICROPIGMENTATION; SUBCU INJECTION",,,
11951,"TATTOOING, INTRADERMAL INTRODUCTION OF INSOLUBLE OPAQUE PIGMENTS TO CORRECT COLOR DEFECTS OF SKIN, INCLUDING MICROPIGMENTATION; 1.1 TO 5.0 CC",,,
11952,"TATTOOING, INTRADERMAL INTRODUCTION OF INSOLUBLE OPAQUE PIGMENTS TO CORRECT COLOR DEFECTS OF SKIN, INCLUDING MICROPIGMENTATION; 5.1 TO 10.0 CC",,,
11954,"TATTOOING, INTRADERMAL INTRODUCTION OF INSOLUBLE OPAQUE PIGMENTS TO CORRECT COLOR DEFECTS OF SKIN, INCLUDING MICROPIGMENTATION; OVER 10.0 CC",,,
11960,"INSERTION OF TISSUE EXPANDER(S) FOR OTHER THAN BREAST, INCLUDING SUBSEQUENT EXPANSION",,,
11970,REPLACEMENT OF TISSUE EXPANDER WITH PERMANENT PROSTHESIS,,,
11971,REMOVAL OF TISSUE EXPANDER(S) WITHOUT INSERTION OF PROSTHESIS,,,
11975,"INSERTION, IMPLANTABLE CONTRACEPTIVE CAPSULES",,,
11976,"REMOVAL, IMPLANTABLE CONTRACEPTIVE CAPSULES",,,
11977,"REMOVAL WITH REINSERTION, IMPLANTABLE CONTRACEPTIVE CAPSULES",,,
11980,SUBCUTANEOUS HORMONE PELLET IMPLANTATION (IMPLANTATION OF ESTRADIOL AND/OR TESTOSTERONE PELLETS BENEATH THE SKIN),,,
11981,"INSERTION, NON-BIODEGRADABLE DRUG DELIVERY IMPLANT",,,
11982,"REMOVAL, NON-BIODEGRADABLE DRUG DELIVERY IMPLANT",,,
11983,"REMOVAL WITH REINSERTION, NON-BIODEGRADABLE DRUG DELIVERY IMPLANT",,,
12001,"SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF SCALP, NECK, AXILLAE, EXTERNAL GENITALIA, TRUNK AND/OR EXTREMITIES (INCLUDING HANDS AND FEET); 2.5 CM OR",,,
12002,"SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF SCALP, NECK, AXILLAE, EXTERNAL GENITALIA, TRUNK AND/OR EXTREMITIES (INCLUDING HANDS AND FEET); 2.6 CM TO",,,
12004,"SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF SCALP, NECK, AXILLAE, EXTERNAL GENITALIA, TRUNK AND/OR EXTREMITIES (INCLUDING HANDS AND FEET); 7.6 CM TO",,,
12005,"SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF SCALP, NECK, AXILLAE, EXTERNAL GENITALIA, TRUNK AND/OR EXTREMITIES (INCLUDING HANDS AND FEET); 12.6 CM T",,,
12006,"SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF SCALP, NECK, AXILLAE, EXTERNAL GENITALIA, TRUNK AND/OR EXTREMITIES (INCLUDING HANDS AND FEET); 20.1 CM T",,,
12007,"SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF SCALP, NECK, AXILLAE, EXTERNAL GENITALIA, TRUNK AND/OR EXTREMITIES (INCLUDING HANDS AND FEET); OVER 30.0",,,
12011,"SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; 2.5 CM OR LESS",,,
12013,"SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; 2.6 CM TO 5.0 CM",,,
12014,"SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; 5.1 CM TO 7.5 CM",,,
12015,"SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; 7.6 CM TO 12.5 CM",,,
12016,"SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; 12.6 CM TO 20.0 CM",,,
12017,"SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; 20.1 CM TO 30.0 CM",,,
12018,"SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; OVER 30.0 CM",,,
12020,TREATMENT OF SUPERFICIAL WOUND DEHISCENCE; SIMPLE CLOSURE,,,
12021,TREATMENT OF SUPERFICIAL WOUND DEHISCENCE; WITH PACKING,,,
12031,"LAYER CLOSURE OF WOUNDS OF SCALP, AXILLAE, TRUNK AND/OR EXTREMITIES (EXCLUDING HANDS AND FEET); 2.5 CM OR LESS",,,
12032,"LAYER CLOSURE OF WOUNDS OF SCALP, AXILLAE, TRUNK AND/OR EXTREMITIES (EXCLUDING HANDS AND FEET); 2.6 CM TO 7.5 CM",,,
12034,"LAYER CLOSURE OF WOUNDS OF SCALP, AXILLAE, TRUNK AND/OR EXTREMITIES (EXCLUDING HANDS AND FEET); 7.6 CM TO 12.5 CM",,,
12035,"LAYER CLOSURE OF WOUNDS OF SCALP, AXILLAE, TRUNK AND/OR EXTREMITIES (EXCLUDING HANDS AND FEET); 12.6 CM TO 20.0 CM",,,
12036,"LAYER CLOSURE OF WOUNDS OF SCALP, AXILLAE, TRUNK AND/OR EXTREMITIES (EXCLUDING HANDS AND FEET); 20.1 CM TO 30.0 CM",,,
12037,"LAYER CLOSURE OF WOUNDS OF SCALP, AXILLAE, TRUNK AND/OR EXTREMITIES (EXCLUDING HANDS AND FEET); OVER 30.0 CM",,,
12041,"LAYER CLOSURE OF WOUNDS OF NECK, HANDS, FEET AND/OR EXTERNAL GENITALIA; 2.5 CM OR LESS",,,
12042,"LAYER CLOSURE OF WOUNDS OF NECK, HANDS, FEET AND/OR EXTERNAL GENITALIA; 2.6 CM TO 7.5 CM",,,
12044,"LAYER CLOSURE OF WOUNDS OF NECK, HANDS, FEET AND/OR EXTERNAL GENITALIA; 7.6 CM TO 12.5 CM",,,
12045,"LAYER CLOSURE OF WOUNDS OF NECK, HANDS, FEET AND/OR EXTERNAL GENITALIA; 12.6 CM TO 20.0 CM",,,
12046,"LAYER CLOSURE OF WOUNDS OF NECK, HANDS, FEET AND/OR EXTERNAL GENITALIA; 20.1 CM TO 30.0 CM",,,
12047,"LAYER CLOSURE OF WOUNDS OF NECK, HANDS, FEET AND/OR EXTERNAL GENITALIA; OVER 30.0 CM",,,
12051,"LAYER CLOSURE OF WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; 2.5 CM OR LESS",,,
12052,"LAYER CLOSURE OF WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; 2.6 CM TO 5.0 CM",,,
12053,"LAYER CLOSURE OF WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; 5.1 CM TO 7.5 CM",,,
12054,"LAYER CLOSURE OF WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; 7.6 CM TO 12.5 CM",,,
12055,"LAYER CLOSURE OF WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; 12.6 CM TO 20.0 CM",,,
12056,"LAYER CLOSURE OF WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; 20.1 CM TO 30.0 CM",,,
12057,"LAYER CLOSURE OF WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; OVER 30.0 CM",,,
13100,"REPAIR, COMPLEX, TRUNK; 1.1 CM TO 2.5 CM",,,
13101,"REPAIR, COMPLEX, TRUNK; 2.6 CM TO 7.5 CM",,,
13102,"REPAIR, COMPLEX, TRUNK; EACH ADDITIONAL 5 CM OR LESS (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)",,,
13120,"REPAIR, COMPLEX, SCALP, ARMS, AND/OR LEGS; 1.1 CM TO 2.5 CM",,,
13121,"REPAIR, COMPLEX, SCALP, ARMS, AND/OR LEGS; 2.6 CM TO 7.5 CM",,,
13122,"REPAIR, COMPLEX, SCALP, ARMS, AND/OR LEGS; EACH ADDITIONAL 5 CM OR LESS (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)",,,
13131,"REPAIR, COMPLEX, FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, AXILLAE, GENITALIA, HANDS AND/OR FEET; 1.1 CM TO 2.5 CM",,,
13132,"REPAIR, COMPLEX, FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, AXILLAE, GENITALIA, HANDS AND/OR FEET; 2.6 CM TO 7.5 CM",,,
13133,"REPAIR, COMPLEX, FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, AXILLAE, GENITALIA, HANDS AND/OR FEET; EACH ADDITIONAL 5 CM OR LESS (LIST SEPARATELY IN A",,,
13150,"REPAIR, COMPLEX, EYELIDS, NOSE, EARS AND/OR LIPS; 1.0 CM OR LESS",,,
13151,"REPAIR, COMPLEX, EYELIDS, NOSE, EARS AND/OR LIPS; 1.1 CM TO 2.5 CM",,,
13152,"REPAIR, COMPLEX, EYELIDS, NOSE, EARS AND/OR LIPS; 2.6 CM TO 7.5 CM",,,
13153,"REPAIR, COMPLEX, EYELIDS, NOSE, EARS AND/OR LIPS; EACH ADDITIONAL 5 CM OR LESS (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)",,,
13160,"SECONDARY CLOSURE OF SURGICAL WOUND OR DEHISCENCE, EXTENSIVE OR COMPLICATED",,,
14000,"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, TRUNK; DEFECT 10 SQ CM OR LESS",,,
14001,"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, TRUNK; DEFECT 10.1 SQ CM TO 30.0 SQ CM",,,
14020,"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, SCALP, ARMS AND/OR LEGS; DEFECT 10 SQ CM OR LESS",,,
14021,"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, SCALP, ARMS AND/OR LEGS; DEFECT 10.1 SQ CM TO 30.0 SQ CM",,,
14040,"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, AXILLAE, GENITALIA, HANDS AND/OR FEET; DEFECT 10 SQ CM OR LESS",,,
14041,"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, FOREHEAD, CHEEKS, CHIN, MOUTH, NECK, AXILLAE, GENITALIA, HANDS AND/OR FEET; DEFECT 10.1 SQ CM TO 30.",,,
14060,"ADJACENT TISSUE TRANSFER OR REARRANGEMENT, EYELIDS, NOSE, EARS AND/OR LIPS; DEFECT 10 SQ CM OR LESS",,,
